"","Estimate","SE","tvalue","pvalue","FDR_adjusted"
"chrf:2507",-0.568400167084378,0.0572169657567946,-9.93411935719223,0.000576568128652557,0.374840565996819
"chrc:1029",0.536699381536338,0.0614811792804549,8.7294906801984,0.000948692881525151,0.374840565996819
"chrc:1819",-0.396164021164021,0.04838902043344,-8.18706428887008,0.00121236147174593,0.374840565996819
"chrb:8903",0.437743816061894,0.063246816679864,6.92119918505337,0.00228706732503401,0.374840565996819
"chrc:728",0.369516689495283,0.0537329253097478,6.8769136868163,0.00234264889938388,0.374840565996819
"chrg:238",0.389028944911298,0.0579272528912127,6.71581898837656,0.00255941492806287,0.374840565996819
"chrk:2389",0.613196480938416,0.0925269900264325,6.62721742880907,0.00268918445778674,0.374840565996819
"chrg:5932",0.620013802622498,0.0938993331707729,6.60296278669936,0.00272611320724959,0.374840565996819
"chrg:3441",-0.68959550253668,0.11208776665918,-6.1522815833551,0.0035411038496466,0.406505056866714
"chrj:951",-0.53749987996812,0.089168189076798,-6.02793311755145,0.00381697612922624,0.406505056866714
"chrb:3394",-0.641783186944478,0.110463107932448,-5.80993237431769,0.00436734017774629,0.406505056866714
"chri:7582",-0.493284493284494,0.0852605140419833,-5.78561481627468,0.00443460062036416,0.406505056866714
"chri:3585",-0.499400015189489,0.0894931170003082,-5.58031759233248,0.00505617571137503,0.427830252500964
"chrh:6898",-0.495433736123392,0.0955681288213791,-5.1840895310337,0.00658775854974964,0.517609600337471
"chri:7549",-0.751778098444766,0.154151163559774,-4.87688889972767,0.00817893510787227,0.5997885745773
"chrg:2938",-0.675167458287663,0.145652440589433,-4.63546958468641,0.00976708933288417,0.671487391635787
"chre:8367",-0.19973544973545,0.0460689808657882,-4.33557343752264,0.012295663521081,0.675880210549668
"chrk:398",0.401850437144555,0.0985652411881849,4.07699948075331,0.0151356602090244,0.675880210549668
"chrc:9233",0.608784642766336,0.149817112628824,4.06351872682672,0.0153043160074993,0.675880210549668
"chra:6",0.719346240179574,0.178041095443647,4.04033820611523,0.0155996448356279,0.675880210549668
"chrg:309",0.269143949850472,0.0673115225663738,3.99848257161435,0.0161504637934455,0.675880210549668
